Predicted    0    1    2   3  4    5   6    7    8
Actual                                            
0          368    4    1   1  0    3   0    5    4
1           14  594    0   0  0    2   2    0    8
2            0    0  735   0  0    1   0    0    0
3            0    1   30  77  0    8   0    0    3
4            0    0    2   0  0    6   0    0    3
5           11    3   46   2  0  114   0    3    9
6            0    2    0   0  0    2  93    0    3
7           20    9    4   2  0    8   0  259    5
8            1    7    3   0  0   45   1    1  196
