Predicted    0    1    2   3  4    5   6    7    8
Actual                                            
0          366    4    1   1  0    3   1    6    4
1           13  594    0   0  0    3   2    0    8
2            0    0  733   1  0    2   0    0    0
3            0    1   30  77  0    7   0    0    4
4            0    0    0   0  0    8   0    0    3
5           11    3   38   3  0  120   0    3   10
6            0    2    0   0  0    2  93    0    3
7           18    9    2   5  0   10   0  258    5
8            1    5    3   1  0   46   1    2  195
