Predicted    0    1    2   3  4    5   6    7    8
Actual                                            
0          366    4    0   1  0    4   0    6    5
1           13  595    0   0  0    3   2    0    7
2            0    0  734   0  0    2   0    0    0
3            0    1   28  70  0   15   0    0    5
4            0    0    0   0  0    8   0    0    3
5           11    3   19   1  0  144   0    3    7
6            0    2    0   0  0    2  93    0    3
7           19    9    2   2  0   11   0  258    6
8            1    7    1   0  0   55   1    1  188
