Predicted    0    1    2   3  4    5   6    7    8
Actual                                            
0          368    3    0   0  0    4   1    5    5
1           15  592    2   0  0    3   2    4    2
2            0    0  729   0  0    7   0    0    0
3            0    1   26  69  0   16   0    1    6
4            0    0    0   1  0    7   0    0    3
5           11    3   44   5  0  122   0    2    1
6            1    3    0   0  0    4  90    0    2
7           20    9    1   6  0   13   0  254    4
8            3    8    4   3  0   42   1    4  189
