Predicted    0    1    2   3  4    5   6    7    8
Actual                                            
0          367    3    1   1  0    3   0    5    6
1           13  594    0   0  0    3   1    0    9
2            0    0  733   1  0    2   0    0    0
3            0    1   32  73  0    8   0    0    5
4            0    0    1   0  0    7   0    0    3
5           11    3   40   2  0  120   0    3    9
6            0    2    0   0  0    2  93    0    3
7           17    9    4   6  0    8   0  256    7
8            1    9    1   0  0   54   1    1  187
