Predicted    0    1    2   3  4    5   6    7    8
Actual                                            
0          365    3    1   1  0    3   0    5    8
1           14  592    0   0  0    4   1    0    9
2            0    0  736   0  0    0   0    0    0
3            0    1   40  63  0    8   0    0    7
4            0    0    2   0  0    6   0    0    3
5           11    3   47   1  0  116   0    3    7
6            0    2    0   0  0    2  93    0    3
7           16    8    4   5  0   10   0  257    7
8            1    8    1   0  0   53   1    1  189
