Predicted    0    1    2  3  4   5   6   7   8
Actual                                        
0          149    1    1  0  0   0   0   1   1
1            8  231    0  0  0   0   0   3   5
2            0    0  250  0  0   0   0   0  43
3            1    1    0  0  0   0   0   1  43
4            0    0    0  0  0   0   0   0   3
5            7    3    0  0  0  17   0   0  47
6            0    2    0  0  0   0  35   0   2
7            8    8    0  0  0   1   0  99   5
8            0    4    0  0  0   1   1   7  87
