Predicted    0    1    2   3  4   5   6    7    8
Actual                                           
0          364    8    0   0  0   3   1    8    2
1           22  585    0   0  0   0   3    3    7
2            0    0  625   0  0   0   0    0  111
3            1    2    0  14  0   0   0    2  100
4            0    0    0   0  0   0   0    2    9
5           13    1    0   0  0  48   0    5  121
6            2    7    0   0  0   0  87    0    4
7           20    9    0   0  0   3   0  258   17
8            1   17    1   0  0   7   3    1  224
