Predicted    0    1    2    3  4    5   6    7    8
Actual                                             
0          365    9    1    0  0    1   0    8    2
1            5  598    0    1  0    0   3    4    9
2            0    0  730    3  0    3   0    0    0
3            0    2    9  105  0    0   1    1    1
4            0    0    2    1  1    1   0    2    4
5            1    2   53    9  0  110   0    4    9
6            0    1    0    1  0    0  93    3    2
7            9    6    5    0  0    2   0  283    2
8            1    6    2    1  0    0   1    6  237
