Predicted    0    1    2    3  4    5   6    7    8
Actual                                             
0          368    4    0    0  0    3   1    8    2
1            3  597    0    0  0    2   6    8    4
2            0    0  720    2  0   14   0    0    0
3            0    1   10  101  0    3   0    2    2
4            0    0    1    0  0    5   0    0    5
5            3    0   13    3  0  162   1    2    4
6            0    1    0    0  0    0  95    4    0
7           10    5    4    2  0    3   1  279    3
8            5    2    1    1  1   18   0    3  223
