Predicted    0    1    2   3  4   5   6    7   8
Actual                                          
0          144    1    1   0  0   1   0    6   0
1            9  229    0   0  0   1   0    4   4
2            0    0  293   0  0   0   0    0   0
3            1    1   17  24  0   1   0    1   1
4            0    0    2   0  0   0   0    0   1
5            6    1   33   1  0  28   0    4   1
6            1    2    0   0  0   0  35    0   1
7            8    3    3   1  0   2   0  102   2
8            2    6   10   1  0  12   0    3  66
