Predicted    0    1    2   3  4    5   6    7    8
Actual                                            
0          354   12    1   0  0    4   1   13    1
1            3  598    0   1  2    3   6    3    4
2            0    0  734   1  0    1   0    0    0
3            0    1   23  90  0    1   1    1    2
4            0    0    5   1  1    0   0    0    4
5            1    1   62   2  1  112   1    3    5
6            0    3    0   0  1    0  95    0    1
7            5    6    4   2  0    3   0  286    1
8            1    3    2   1  2    1   0    3  241
