Predicted    0    1    2   3  4    5   6    7    8
Actual                                            
0          362   13    0   0  0    2   0    9    0
1            3  607    0   0  0    0   2    4    4
2            0    0  731   1  0    4   0    0    0
3            0    1   14  97  0    2   0    5    0
4            0    0    1   0  7    2   0    0    1
5            2    4   24   4  2  144   0    7    1
6            0    4    0   0  0    0  95    1    0
7            8   10    3   1  0    1   0  283    1
8            2    9    1   2  3    0   1    3  233
