Predicted    0    1    2   3  4    5   6    7    8
Actual                                            
0          353    4    0   0  1    4   2   14    8
1            4  598    1   0  0    4   1    5    7
2            0    0  718   1  0   17   0    0    0
3            0    2   10  88  0   19   0    0    0
4            0    0    0   0  2    6   0    0    3
5            1    1    7   1  0  173   0    2    3
6            0    0    0   1  0    0  96    0    3
7            6    4    3   2  2    3   0  284    3
8            0    3    2   0  1    4   1    1  242
