Predicted    0    1    2   3  4    5   6    7    8
Actual                                            
0          146    5    0   1  1    1   2   29  201
1            0  582    1   0  0    0   4    3   30
2            0   12  709   1  0   13   0    0    1
3            0    1   10  98  0    6   2    0    2
4            0    0    1   0  1    5   0    0    4
5            0    0   10  51  0  116   0    3    8
6            0    1    0   0  0    0  91    0    8
7            1    3    4   5  0    1   3  269   21
8            0    2    0   1  0    3   1    0  247
