Predicted    0    1    2  3  4  5   6   7   8
Actual                                       
0          138    0    2  0  0  0   2   9   2
1            3  233    0  0  0  0   0   6   5
2            0    0  250  0  0  0   0   0  43
3            0    1    0  0  0  0   0   1  44
4            0    0    0  0  0  0   0   0   3
5            1    1    0  0  0  0   5   3  64
6            0    2    0  0  0  0  24   1  12
7            3    3    0  0  0  0   2  98  15
8            1    5    0  0  0  0   0   4  90
