Predicted    0    1    2   3  4    5   6    7    8
Actual                                            
0          356    4    0   0  1    3   1   17    4
1            7  596    0   0  0    3   3    7    4
2            0    0  729   1  0    6   0    0    0
3            0    0   13  92  0   11   0    2    1
4            0    0    1   1  1    6   0    0    2
5            1    0   25   4  0  152   0    3    3
6            0    2    0   4  0    0  89    2    3
7            6    3    3   1  0    6   0  284    4
8            0    5    0   7  0   29   0    1  212
