Predicted    0    1    2   3  4   5   6    7    8
Actual                                           
0          366    4    1   1  0   5   0    5    4
1           25  572    1   1  0   3   6    1   11
2            0    0  732   1  0   3   0    0    0
3            1    1   18  52  0  35   0    0   12
4            0    0    2   0  0   6   0    0    3
5           14    2   66  27  0  75   0    3    1
6            0    4    0   0  0   1  91    0    4
7           24    6    4   8  0   2   0  252   11
8            1   10    6  25  0  31   9    2  170
