Predicted    0    1    2    3  4    5   6    7    8
Actual                                             
0          375    1    1    0  0    0   0    7    2
1           12  594    0    1  0    2   1    5    5
2            0    0  731    3  0    1   0    0    1
3            0    1   10  104  0    2   1    1    0
4            0    0    1    1  2    1   0    2    4
5            8    1   40   10  0  107   0   12   10
6            1    2    0    1  0    0  93    2    1
7           15    5    3    1  0    2   0  278    3
8            2    4    1    1  0    0   0    4  242
