Predicted    0    1    2   3  4   5   6    7   8
Actual                                          
0          140    6    1   0  0   0   1    5   0
1            7  232    0   1  0   0   0    4   3
2            0    0  272   0  0  21   0    0   0
3            0    1    0  26  0  15   0    2   2
4            0    0    0   0  0   2   0    0   1
5            6    1    5   3  0  28   0   20  11
6            0    4    0   0  0   0  34    0   1
7            8    3    0   0  0   2   0  104   4
8            0    4    0   0  0  19   1   10  66
