epoch,acc,loss,val_acc,val_loss
0,0.0004909782742113662,0.00975062276304273,0.0003675119441381845,0.009629915472502023
1,0.00319135878237388,0.009518516122493713,0.009555310547592797,0.00941662717123202
2,0.009083098072910275,0.00932553894561764,0.012127894156560088,0.009243234137715946
3,0.009819565484227324,0.009168246815149604,0.012862918044836457,0.009101663606268042
4,0.010310543759353207,0.009040798261218442,0.012862918044836457,0.008987369631218236
5,0.010556032895544373,0.008937953362371477,0.013230429988974642,0.008895037052636088
6,0.010678777464097214,0.008854448182248398,0.013230429988974642,0.008819157971655871
7,0.010556032895544373,0.008785154109877196,0.013230429988974642,0.008755880565776496
8,0.010556032895544373,0.00872672476938466,0.013230429988974642,0.008701545051485574
9,0.010556032895544373,0.008675491072994713,0.013230429988974642,0.00865331073577397
10,0.010556032895544373,0.008630306303237748,0.013230429988974642,0.008611531533541836
11,0.010556032895544373,0.008591788571258878,0.013230429988974642,0.008576344904030829
12,0.010678777464097214,0.008559073386795025,0.013230429988974642,0.00854595141223153
13,0.010678777464097214,0.008529840939970555,0.013230429988974642,0.008518261945532969
14,0.010678777464097214,0.008503912701837904,0.013230429988974642,0.008494493521774617
15,0.010678777464097214,0.008481667102013313,0.013597941933112825,0.008473881072296635
16,0.010678777464097214,0.008462284159496458,0.013597941933112825,0.008455878363916078
17,0.010678777465011733,0.008445330299103247,0.013597941933112825,0.008440058992594448
18,0.011169755739223098,0.008430336909996223,0.015067989709665565,0.008426020734795245
19,0.014238369952129619,0.008416965161887462,0.020948180815876516,0.008413422016583681
20,0.02086657665489758,0.008404932945657613,0.025725836089672913,0.008402036454696967
21,0.025653614827543882,0.008394028865943164,0.03197353914002205,0.008391660977003002
22,0.030808886708592262,0.008384046514248891,0.0356486585814039,0.008382122202795881
23,0.03498220203755984,0.008374851205349297,0.04189636163175303,0.008373303739001473
24,0.042469620719283174,0.00836628266408211,0.044101433296582136,0.008365024136189742
25,0.045906468639677254,0.00835807951048567,0.04630650496141125,0.008356946294607703
26,0.04676568061954715,0.008350014738597701,0.04704152884968762,0.00834899316605171
27,0.04701116975756735,0.008342074557139279,0.047409040793825796,0.008341169906509729
28,0.04713391432429115,0.008334236766978856,0.04777655273796398,0.00833335387575598
29,0.04725665889284399,0.0083262298220264,0.04814406468210217,0.00832519163567544
30,0.04762489259850251,0.008317874052701398,0.04851157662624035,0.008316671786208948
31,0.04799312630599008,0.008309196062569853,0.04851157662624035,0.00830788987605548
32,0.04799312630416104,0.00830029056749198,0.04851157662624035,0.008298823038695906
33,0.04799312630416104,0.008290700058825337,0.04851157662624035,0.008288490652725872
34,0.04799312630507556,0.008279986699787703,0.04887908857037854,0.008277309983516935
35,0.04823861544309576,0.008268017348117428,0.04887908857037854,0.008263720707739924
36,0.048361360010734086,0.00825269443726132,0.04887908857037854,0.008246843010674545
37,0.048484104579286924,0.0082359426769533,0.04924660051451672,0.008230248061568366
38,0.04860684914692525,0.00822020984344286,0.04924660051451672,0.008215255635211745
39,0.048606849132292955,0.008206199759502448,0.04924660051451672,0.008201968247595955
40,0.04860684914692525,0.008193738830353682,0.04924660051451672,0.008190127069425578
41,0.04860684914875429,0.008182538920315926,0.04924660051451672,0.008179388595666245
42,0.04860684914783977,0.008172207229260991,0.04924660051451672,0.00816928933914347
43,0.04897508285349829,0.008162345504702578,0.04924660051451672,0.00815961888256438
