Predicted    0    1    2   3  4    5   6    7    8
Actual                                            
0          328    3    1   0  0   17   1   31    5
1            3  586    0   0  0   10   2    8   11
2            0    0  729   1  0    6   0    0    0
3            0    2   24  86  0    7   0    0    0
4            0    0    1   1  2    5   0    0    2
5            0    3   38   2  0  124   0    4   17
6            0    1    0   0  0    3  93    0    3
7            8    7    3   2  0    7   0  275    5
8            0    5    1   4  0   14   0    2  228
