Predicted    0    1    2   3  4   5   6   7   8
Actual                                         
0          146    1    0   1  0   0   2   2   1
1           11  222    0   1  0   2   3   1   7
2            0    0  293   0  0   0   0   0   0
3            0    0    4  27  0  12   0   0   3
4            0    0    2   0  0   0   0   0   1
5            6    1   10  32  0  24   0   0   1
6            0    1    0   0  0   0  34   0   4
7            7    3    3   0  0   4   0  98   6
8            0    5    4  16  0   8   0   2  65
