Predicted    0    1    2    3  4    5   6    7    8
Actual                                             
0          367    2    0    0  0    3   1   13    0
1           11  593    0    1  0    0   1    8    6
2            0    0  679    6  0   49   0    2    0
3            0    1    0  108  0    5   0    3    2
4            1    0    0    1  0    3   0    1    5
5            3    1    4   11  0  151   0    6   12
6            1    3    0    0  0    2  92    0    2
7            9    3    0    1  0    6   0  284    4
8            0    4    0    2  0    3   2    4  239
