Predicted    0    1    2   3  4    5   6    7    8
Actual                                            
0          367    6    1   0  0    1   1    9    1
1            7  598    1   1  0    1   4    2    6
2            0    0  731   1  0    4   0    0    0
3            0    1   17  98  0    1   1    0    1
4            0    0    2   0  3    4   0    0    2
5            1    1   38   6  0  134   0    6    2
6            0    1    0   1  0    0  94    4    0
7            9    4    3   1  0    3   2  283    2
8            0    3    2   2  0    4   1    1  241
