Predicted    0    1    2   3  4   5   6    7   8
Actual                                          
0          137    5    1   0  0   4   4    2   0
1            7  231    1   0  0   1   0    2   5
2            0    0  293   0  0   0   0    0   0
3            0    1   30  12  0   1   0    1   1
4            0    0    2   0  0   0   0    0   1
5            2    1   24   0  0  29   0    2  16
6            2    1    1   0  0   0  32    1   2
7            8    4    1   2  0   2   0  100   4
8            1    4   12   3  0  14   0    0  66
