Predicted    0    1    2   3  4    5   6    7    8
Actual                                            
0          368    3    0   0  0    5   0    8    2
1            8  596    0   2  0    3   2    2    7
2            0    0  730   1  0    4   0    0    1
3            0    3   15  93  0    7   0    1    0
4            0    0    0   0  5    6   0    0    0
5            1    1   14   5  0  156   0    9    2
6            1    0    0   0  0    3  96    0    0
7            7    4    3   1  0    5   0  285    2
8            1    6    0   0  1    4   1    6  235
