Predicted    0    1    2  3  4   5   6   7    8
Actual                                         
0          365    3    3  0  0   5   2   1    7
1           21  577    0  0  0   0   4   1   17
2            0    0  625  0  0   0   0   0  111
3            1    0    0  0  0   0   0   0  118
4            0    0    0  0  0   0   0   0   11
5           15    3    1  0  0  47   0   1  121
6            8    5    0  0  0   0  80   0    7
7           21    5    0  0  0  16   5  17  243
8            1   16    1  0  0   0   7   8  221
