Predicted    0    1    2   3  4   5   6    7   8
Actual                                          
0          143    3    0   0  0   2   2    2   1
1            6  234    1   0  0   1   0    1   4
2            0    0  261   0  0  32   0    0   0
3            0    1    3  26  0  14   0    1   1
4            0    0    0   0  0   2   0    0   1
5            6    1    4   0  0  61   0    2   0
6            0    4    0   0  0   0  34    0   1
7            5    6    0   0  0   4   0  102   4
8            0    7    0   0  0  25   1    4  63
