Predicted    0    1    2  3  4  5   6    7   8
Actual                                        
0          146    2    0  0  0  0   1    4   0
1           12  229    0  0  0  0   1    5   0
2            0    0  250  0  0  0   0   43   0
3            1    1    1  0  0  0   0   43   0
4            0    0    0  0  0  0   0    3   0
5            7    1    1  0  0  0   0   65   0
6            0    4    0  0  0  0  29    5   1
7           10    3    0  0  0  0   1  106   1
8            0    8    0  0  0  0   1   77  14
