Predicted    0    1    2    3  4    5   6    7    8
Actual                                             
0          376    3    0    0  0    2   0    2    3
1           14  593    0    1  0    0   0    5    7
2            0    0  730    2  0    3   0    0    1
3            0    2    2  108  0    4   0    1    2
4            0    0    1    0  2    3   0    1    4
5            3    1   18   12  0  152   0    1    1
6            0    1    0    0  2    0  94    2    1
7           10    8    2    3  0    4   0  278    2
8            1    5    2    1  2    6   0    3  234
