Predicted    0    1    2    3  4    5   6    7    8
Actual                                             
0          361    8    1    0  0    3   0   13    0
1            6  590    3    0  0    1   2    8   10
2            0    0  731    3  0    0   0    1    1
3            0    0    5  108  0    3   2    0    1
4            0    0    2    1  2    4   0    0    2
5            2    0   33    9  0  138   0    3    3
6            0    1    0    1  0    0  90    5    3
7            7    4    2    3  0    6   0  281    4
8            0    4    2    1  0    3   4    5  235
