Predicted    0    1    2  3  4  5  6    7   8
Actual                                       
0          144    3    0  0  0  0  0    4   2
1            8  230    0  0  0  0  0    8   1
2            0    0  250  0  0  0  0    0  43
3            0    0    0  0  0  0  0    8  38
4            0    0    0  0  0  0  0    3   0
5            6    1    1  0  0  0  0   40  26
6            2    1   34  0  0  0  0    2   0
7           10    2    0  0  0  0  0  108   1
8            5    2    0  0  0  0  0   90   3
