Predicted    0    1    2  3  4   5   6   7   8
Actual                                        
0          133    6    1  0  0   4   6   1   2
1            4  228    0  0  0   9   1   1   4
2            0    0  292  0  0   1   0   0   0
3            0    1   41  1  0   2   0   0   1
4            0    0    2  0  0   0   0   0   1
5            2    1   27  0  0  39   4   0   1
6            1    1    0  0  0   0  32   4   1
7            6    5    2  0  0   4   0  98   6
8            3    2    2  0  0  23   0   2  68
