Predicted    0    1    2   3  4   5   6    7   8
Actual                                          
0          145    2    0   1  0   0   1    4   0
1            8  230    1   1  0   0   2    1   4
2            0    0  250  43  0   0   0    0   0
3            0    1    0  41  0   0   0    2   2
4            0    0    0   2  0   0   0    0   1
5            8    2    0  47  0  17   0    0   0
6            0    2    0   0  0   0  36    0   1
7            6    5    2   5  0   1   0  100   2
8            0    5    0  28  0   1   2    2  62
