Predicted    0    1    2   3  4    5   6    7    8
Actual                                            
0          367    3    0   0  0    5   1    7    3
1           13  588    0   1  0    4   1    5    8
2            0    0  720   1  0   14   1    0    0
3            0    0    7  84  0   26   0    0    2
4            0    0    1   0  0    5   0    0    5
5            2    3   13   4  0  128   2    2   34
6            1    1    0   0  1    1  88    1    7
7           15    6    3   1  0    6   0  272    4
8            1    4    0   3  0    3   2    2  239
