Predicted    0    1    2   3  4    5   6    7    8
Actual                                            
0          370    4    0   0  0    4   0    6    2
1           12  594    1   0  0    2   3    4    4
2            0    0  731   0  0    5   0    0    0
3            0    2   10  96  0   10   1    0    0
4            0    0    1   2  2    5   0    0    1
5            2    3   12   6  0  159   0    3    3
6            0    2    0   3  0    0  92    3    0
7           14    9    2   1  0    7   0  270    4
8            2    5    1   4  0   13   1    1  227
