Predicted    0    1    2   3  4    5   6    7    8
Actual                                            
0          370    4    0   0  0    4   0    6    2
1           11  596    1   1  0    2   1    6    2
2            0    0  732   0  0    3   0    0    1
3            0    1   21  87  0    9   0    1    0
4            0    0    1   2  2    5   0    0    1
5            3    2   19   5  0  155   0    3    1
6            0    2    0   3  0    0  92    3    0
7           11    7    3   1  0    4   0  278    3
8            1    5    1   2  0   25   1    2  217
