Predicted    0    1    2   3  4    5   6    7    8
Actual                                            
0          373    6    0   0  0    2   0    3    2
1           14  594    1   0  0    1   2    3    5
2            0    0  732   2  0    1   0    0    1
3            0    1   15  98  0    3   1    1    0
4            0    0    1   2  2    5   0    0    1
5            4    3   36   6  0  133   0    3    3
6            1    2    0   3  0    0  92    2    0
7           17    6    4   1  0    3   0  272    4
8            2    6    2   3  0   14   1    2  224
