Predicted    0    1    2   3  4   5   6    7   8
Actual                                          
0          147    1    0   1  0   0   1    3   0
1            8  229    0   1  0   1   1    0   7
2            0    0  291   2  0   0   0    0   0
3            0    1    1  35  0   6   0    1   2
4            0    0    0   0  0   2   0    0   1
5            6    2    8   6  0  40   0    0  12
6            0    1    0   0  0   0  36    0   2
7            8    3    1   1  0   1   0  102   5
8            2    4    0   7  0  13   1    2  71
