Predicted    0    1    2    3  4    5   6    7    8
Actual                                             
0          374    3    0    0  1    2   1    4    1
1            6  601    0    2  0    2   1    5    3
2            0    0  730    1  0    5   0    0    0
3            0    2   14  100  0    3   0    0    0
4            0    0    1    0  3    4   0    0    3
5            1    4   27    3  0  148   0    3    2
6            1    0    0    0  0    0  95    3    1
7            9    7    4    1  0    3   1  279    3
8            2    7    0    1  0    5   0    2  237
