Predicted    0    1    2  3  4  5   6    7   8
Actual                                        
0          360    6    1  0  0  0   3   12   4
1           28  575    7  0  0  0   3    7   0
2            0    0  625  0  0  0   0  111   0
3            1    1    0  0  0  0   0  117   0
4            0    0    0  0  0  0   0    9   2
5           11    3    2  0  0  1   0  170   1
6            4    1    0  0  0  0  84    6   5
7           21    8    3  0  0  0   1  271   3
8           14    7    1  0  0  0   3  156  73
