Predicted    0    1    2   3  4    5   6    7    8
Actual                                            
0          370    3    1   0  0    2   1    6    3
1            7  601    0   0  0    1   1    5    5
2            0    0  729   2  0    3   0    0    2
3            0    2   16  95  0    4   1    0    1
4            0    0    1   0  2    3   0    0    5
5            2    3   33   3  0  139   0    5    3
6            1    2    0   1  0    0  92    3    1
7           10    6    2   2  0    4   0  280    3
8            3    5    0   2  0    9   1    2  232
