Predicted    0    1    2    3  4    5   6    7    8
Actual                                             
0          352   10    0    0  0    5   1   17    1
1            4  604    1    1  0    3   2    3    2
2            0    0  730    2  0    4   0    0    0
3            0    2    8  106  0    3   0    0    0
4            0    0    0    0  2    4   0    3    2
5            0    2   17    7  0  155   0    5    2
6            0    1    0    0  0    0  92    7    0
7            6    5    3    0  0    1   0  291    1
8            1    7    0    1  1   17   0    5  222
