Predicted    0    1    2  3  4   5   6   7   8
Actual                                        
0          146    3    1  0  0   0   0   3   0
1            8  232    2  0  0   1   1   0   3
2            0    0  293  0  0   0   0   0   0
3            0    1   43  0  0   1   0   0   1
4            0    0    2  0  0   0   0   0   1
5            8    2   34  9  0  15   6   0   0
6            1    1    0  0  0   1  35   0   1
7            8    4    3  1  0   1   1  97   6
8            2    4   19  1  0  12   1   1  60
