Predicted    0    1    2   3  4   5   6    7    8
Actual                                           
0          364    8    0   1  0   2   2    3    6
1           27  573    0   0  0   0   0    8   12
2            0    0  730   0  0   3   0    0    3
3            1    1   16  33  0  49   0    0   19
4            0    0    1   0  0   6   0    0    4
5           13    1   38   4  0  99   0    4   29
6            3    3    0   0  0   0  88    2    4
7           26   12    2   7  0   7   0  239   14
8            4   13    1   2  0  25   2    1  206
