Predicted    0    1    2   3  4  5   6    7   8
Actual                                         
0          143    1    2   1  0  0   0    6   0
1            2  233    0   0  0  0   1    6   5
2            0    0  250  35  0  0   0    0   8
3            0    1    0  11  0  0   0    2  32
4            0    0    0   0  0  0   0    0   3
5            6    1    0  14  0  0   0    3  50
6            0    1    0   0  0  0  37    0   1
7            5    4    0   2  0  0   0  100  10
8            0    7    0   0  0  0   0    3  90
