Predicted    0    1    2   3  4    5   6    7    8
Actual                                            
0          370   10    1   0  0    1   0    2    2
1            4  608    0   1  0    0   2    1    4
2            0    0  729   2  0    3   0    0    2
3            0    1   17  97  0    2   1    1    0
4            0    0    2   1  3    4   0    0    1
5            1    4   35   7  0  135   0    4    2
6            0    1    1   1  0    0  96    1    0
7            9   10    5   0  1    3   0  278    1
8            1    4    3   1  1    2   2    2  238
