Predicted    0    1    2    3  4    5   6    7    8
Actual                                             
0          366    7    1    0  0    1   0    9    2
1            7  600    1    0  0    2   1    3    6
2            0    0  730    1  0    5   0    0    0
3            0    1   10  104  0    3   0    0    1
4            0    0    2    1  2    5   0    0    1
5            1    2   39    8  0  131   0    5    2
6            0    2    0    2  0    0  91    3    2
7           11    5    3    1  0    3   0  281    3
8            0    5    2    2  1    3   0    2  239
