Predicted    0    1    2   3  4  5   6   7   8
Actual                                        
0          148    3    0   1  0  0   0   1   0
1           11  230    0   2  1  0   0   3   0
2            0    0  250  42  0  0   0   0   1
3            1    1    0  36  0  0   0   7   1
4            0    0    0   2  0  0   0   0   1
5           17    3    0  32  0  7   0   0  15
6            0    1    0   0  0  0  36   1   1
7           12    6    0   2  0  0   0  98   3
8            2    5    0  14  0  0   2   3  74
