Predicted    0    1    2   3  4    5   6    7    8
Actual                                            
0          364    5    0   0  0    4   2    9    2
1            9  595    1   0  0    3   2    4    6
2            0    0  729   0  0    6   0    0    1
3            0    1   11  87  0   15   1    1    3
4            0    0    0   0  2    4   0    0    5
5            4    1   11   3  0  159   0    3    7
6            0    1    0   0  0    0  95    3    1
7           11    6    2   1  0    5   0  279    3
8            2    3    0   1  0    1   2    0  245
