Predicted    0    1    2    3  4    5   6    7    8
Actual                                             
0          350   13    0    0  0    3   3   16    1
1            5  599    2    1  0    1   2    5    5
2            0    0  730    3  0    2   0    0    1
3            0    1    9  106  0    1   1    0    1
4            0    0    1    0  2    4   0    0    4
5            2    3   31   13  0  132   0    3    4
6            0    2    0    1  0    0  95    1    1
7           10    8    3    1  0    3   0  278    4
8            1    3    2    2  0    6   1    3  236
