Predicted    0    1    2   3  4    5   6    7    8
Actual                                            
0          373    6    0   0  0    2   0    5    0
1           13  599    0   0  0    1   1    3    3
2            0    0  734   0  0    2   0    0    0
3            0    3    1  98  0   16   0    1    0
4            0    0    3   0  0    5   0    0    3
5           13    1    3   1  0  170   0    0    0
6            0    1    0   0  0    2  91    3    3
7           10    9    3   0  0    6   0  276    3
8            1   14    0   0  0   11   0    0  228
