Predicted    0    1    2   3  4    5   6    7    8
Actual                                            
0          375    5    0   0  0    2   0    4    0
1           13  599    0   0  0    1   1    3    3
2            0    0  736   0  0    0   0    0    0
3            0    3    3  98  0   14   0    1    0
4            0    0    4   0  0    4   0    0    3
5           13    1    6   1  0  167   0    0    0
6            0    1    0   0  0    2  91    3    3
7           11    9    3   0  0    6   0  274    4
8            1   13    0   0  0   11   0    0  229
