Predicted    0    1    2   3  4    5   6    7    8
Actual                                            
0          374    5    0   0  0    2   0    5    0
1           13  597    0   0  0    1   1    3    5
2            0    0  735   0  0    1   0    0    0
3            0    3    2  98  0   15   0    1    0
4            0    0    4   0  0    4   0    0    3
5           13    1    5   1  0  168   0    0    0
6            0    1    0   0  0    1  91    4    3
7           10    7    3   0  0    6   0  276    5
8            1   11    0   0  0   11   0    0  231
