Predicted    0    1    2   3  4    5   6    7    8
Actual                                            
0          362    6    1   0  0    3   5    1    8
1            5  605    0   0  0    1   1    1    7
2            0    0  729   2  0    3   0    0    2
3            0    3   18  96  0    1   0    1    0
4            0    0    1   0  0    7   0    0    3
5            3    2   47   4  0  126   0    5    1
6            0    1    0   2  0    0  94    1    2
7           13    9    4   0  0    6   0  269    6
8            2    4    0   2  0    6   3    3  234
