Predicted    0    1    2   3  4   5   6    7   8
Actual                                          
0          144    3    0   1  0   0   0    5   0
1            5  231    0   0  0   0   2    2   7
2            0    0  251  41  0   1   0    0   0
3            0    2    0  28  0   9   0    0   7
4            0    0    0   2  0   0   0    1   0
5            7    1    0  20  0  21   0    5  20
6            0    2    0   0  0   0  34    1   2
7            9    3    0   2  0   1   2  100   4
8            0    7    0   6  0  11   0    9  67
