Predicted    0    1    2   3  4   5   6   7   8
Actual                                         
0          148    2    1   0  0   0   0   2   0
1            7  234    1   2  0   0   0   1   2
2            0    0  292   1  0   0   0   0   0
3            0    2   10  32  0   0   0   1   1
4            0    0    1   1  0   0   0   0   1
5            6    1   27  10  0  19   0   2   9
6            0    3    0   0  0   0  35   0   1
7            8    4    1   4  0   2   0  98   4
8            0    6    2   9  0   9   1   4  69
