Predicted    0    1    2    3  4    5   6    7    8
Actual                                             
0          362    9    0    1  0    2   0   11    1
1            5  603    0    3  0    2   0    3    4
2            0    0  626  104  0    5   1    0    0
3            0    2    1  113  0    0   2    0    1
4            0    0    0    7  2    0   0    0    2
5            3    1   12   38  0  125   0    5    4
6            0    2    0    0  0    0  97    1    0
7            7    7    1    4  1    2   0  284    1
8            0    9    0   17  2    0   1    5  220
