Predicted    0    1    2    3  4    5   6    7    8
Actual                                             
0          380    1    0    0  0    2   2    1    0
1            7  604    0    0  1    1   2    0    5
2            0    0  731    0  0    4   1    0    0
3            1    2    2  106  1    6   0    0    1
4            0    0    0    0  1    8   1    0    1
5            1    1    0    1  0  185   0    0    0
6            0    1    0    0  0    2  96    0    1
7           20    2    0    1  0    7   0  275    2
8            1    5    0    0  0    7   0    0  241
