Predicted    0    1    2    3  4    5   6    7    8
Actual                                             
0          372    4    0    1  0    2   0    6    1
1            5  603    0    2  0    1   3    2    4
2            0    0  728    2  0    6   0    0    0
3            0    3    1  108  1    5   1    0    0
4            0    0    1    1  7    1   0    0    1
5            2    0   26   11  1  140   1    3    4
6            0    1    0    1  0    0  95    3    0
7            9    7    2    4  1    2   0  281    1
8            1    4    0    2  0    3   0    2  242
