Predicted    0    1    2    3  4    5   6    7    8
Actual                                             
0          361    7    0    0  0    2   1   14    1
1            8  597    1    0  0    0   0    8    6
2            0    0  730    1  0    4   0    1    0
3            0    1    2  111  0    1   0    2    2
4            0    0    2    0  1    0   0    1    7
5            2    2   14   10  0  147   0    4    9
6            0    2    0    0  0    0  92    4    2
7            9    7    2    3  0    2   1  280    3
8            2    7    3    0  0    2   3    8  229
