Predicted    0    1    2   3  4    5   6    7    8
Actual                                            
0          358    8    0   0  2    5   1   11    1
1            6  600    2   0  0    1   2    4    5
2            0    0  724   2  0    9   0    0    1
3            0    1    7  97  0   11   1    0    2
4            0    0    1   0  1    5   0    0    4
5            1    0    8   1  0  169   0    5    4
6            0    1    0   0  0    1  94    2    2
7            5    7    3   1  3    4   0  281    3
8            1    5    0   0  0    2   2    3  241
