Predicted    0    1    2   3  4    5   6    7    8
Actual                                            
0          367    4    0   0  1    4   1    7    2
1            8  602    1   1  0    0   0    3    5
2            0    0  626   2  0  106   0    0    2
3            0    2    1  97  0   12   0    1    6
4            0    0    0   0  1    5   0    0    5
5            2    1    1   1  0  170   0    6    7
6            1    1    0   0  0    0  93    0    5
7           10    5    0   0  0    8   0  282    2
8            3    3    1   0  3    1   0    0  243
